TID,y,x1,x2,x3,x4,x5,x6,k
1,1,1,0,0,0.898989899,0,0,3450
2,1,1,0,0,0.898989899,0,0,3364
3,1,1,0,0,0.898989899,0,0,3699
4,1,1,0,0,0.886002886,0,0,4101
5,1,1,0,0,0.898989899,0,0,3045
6,0,1,0,0,0.898989899,0,0,3344
7,0,1,0,0,0.898989899,0,0,2962
8,0,1,0,0,0.898989899,0,0,3160
9,0,1,0,0,0.898989899,0,0,2938
10,1,1,0,0,0.898989899,0,0,3609
11,1,1,0,0,0.898989899,0,0,4102
12,0,1,0,0,0.898989899,0,0,3062
13,2,1,0,0,0.898989899,0,0,3308
14,0,1,0,0,0.898989899,0,0,2915
15,1,0.898989899,0,0,1,0,0,3558
16,1,0.898989899,0,0,0.747474747,1,1,3132
17,6,0.898989899,0,0,0.949494949,1,0,3574
18,3,0.898989899,0,0,0.949494949,1,0,3827
19,4,0.898989899,0,0,0.949494949,1,0,3194
20,4,0.898989899,0,0,0.949494949,1,0,3829
21,4,0.898989899,0,0,0.949494949,1,0,3072
22,30,0.797979798,1,1,0.949494949,1,0,3360
23,11,0.870064279,1,0,0.934343434,1,0,3296
24,12,0.898989899,1,0,1,0,0,3736
25,7,0.898989899,1,0,1,0,0,3659
26,8,0.898989899,1,0,1,0,0,3081
27,6,0.898989899,0,0,1,0,0,3344
28,8,0.898989899,0,0,1,0,0,3164
29,2,0.898989899,0,0,1,0,0,2904
30,3,0.898989899,0,0,1,0,0,3338
31,4,0.898989899,0,0,1,0,0,3346
32,4,0.898989899,0,0,1,0,0,4913
33,7,0.898989899,0,0,1,0,0,3303
34,5,0.898989899,0,0,1,0,0,3303
35,3,0.898989899,0,0,1,0,0,3102
36,5,0.898989899,0,0,1,0,0,3503
37,4,0.898989899,0,0,1,0,0,3262
38,4,0.887626263,0,0,1,0,0,3837
39,4,0.887626263,0,0,1,0,0,4937
40,3,0.898989899,0,0,1,0,0,3131
41,6,0.898989899,0,0,1,0,0,3402
42,3,0.898989899,0,0,1,0,0,3026
43,49,0.747474747,1,1,1,0,0,3168
44,12,0.898989899,1,0,1,0,0,3211
45,13,0.898989899,1,0,1,0,0,3665
46,17,0.898989899,1,0,1,0,0,4721
47,9,0.898989899,1,0,1,0,0,3244
48,6,0.898989899,1,0,1,0,0,3379
49,9,0.898989899,1,0,1,0,0,2961
50,8,0.898989899,1,0,0.898989899,0,0,3201
51,9,0.898989899,1,0,0.898989899,0,0,3096
52,11,0.898989899,1,0,0.898989899,0,0,3448
53,11,0.898989899,1,0,0.898989899,0,0,4183
54,14,0.876262626,1,0,0.880808081,0,0,3512
55,13,0.898989899,0,0,0.898989899,0,0,3094
56,6,0.898989899,1,0,0.898989899,0,0,2984
57,1,1,0,0,0.898989899,0,0,3130
58,1,1,0,0,0.898989899,0,0,3004
59,0,1,0,0,0.898989899,0,0,3696
60,0,1,0,0,0.898989899,0,0,3611
61,1,1,0,0,0.898989899,0,0,3694
62,1,1,0,0,0.898989899,0,0,3969
63,1,1,0,0,0.898989899,0,0,3184
64,4,1,0,0,0.898989899,0,0,3417
65,4,1,0,0,0.898989899,0,0,3414
66,0,1,0,0,0.898989899,0,0,3599
67,2,0.974747475,0,0,0.879585327,0,0,4814
68,0,1,0,0,0.898989899,1,0,3368
69,0,1,0,0,0.898989899,1,0,2800
70,2,1,0,0,0.898989899,1,0,3026
71,0,1,0,0,0.797979798,1,1,3295
72,0,1,0,0,0.797979798,1,1,3307
73,4,1,0,0,0.797979798,1,1,3764
74,3,1,0,0,0.797979798,0,1,4345
75,15,0.898989899,1,0,0.898989899,0,0,3175
76,20,0.898989899,1,0,0.898989899,0,0,3742
77,11,0.898989899,1,0,0.898989899,0,0,2899
78,40,0.747474747,1,1,1,0,0,3408
79,19,0.898989899,1,0,1,0,0,3460
80,16,0.898989899,1,0,1,0,0,3567
81,18,0.898989899,1,0,1,0,0,4319
82,19,0.898989899,1,0,1,0,0,3324
83,10,0.898989899,1,0,1,0,0,3174
84,17,0.882947118,1,0,1,0,0,2955
85,13,0.898989899,1,0,1,0,0,2919
86,5,0.898989899,1,0,1,0,0,3261
87,13,0.898989899,1,0,1,0,0,3793
88,15,0.898989899,1,0,1,0,0,3860
89,5,0.898989899,1,0,1,0,0,3389
90,11,0.898989899,1,0,1,0,0,3159
91,7,0.898989899,1,0,1,0,0,3042
92,6,0.898989899,1,0,1,0,0,3116
93,8,0.898989899,1,0,1,0,0,3710
94,12,0.898989899,1,0,1,0,0,3865
95,9,0.898989899,0,0,1,0,0,4249
96,9,0.898989899,0,0,1,0,0,3273
97,6,0.898989899,0,0,1,0,0,3230
98,10,0.898989899,0,0,1,0,0,2714
99,6,0.898989899,0,0,1,0,0,2777
100,2,0.898989899,0,0,1,0,0,3236
101,7,0.898989899,0,0,1,0,0,3872
102,1,0.898989899,0,0,0.994388328,0,0,4398
103,3,0.898989899,0,0,1,0,0,3402
104,7,0.898989899,0,0,1,0,0,3355
105,3,0.898989899,0,0,0.747474747,0,1,3281
106,7,0.898989899,0,0,0.848484848,1,0,3344
107,1,0.898989899,0,0,0.848484848,1,0,3923
108,8,0.881944444,0,0,0.98989899,0,0,4301
109,2,0.898989899,0,0,1,0,0,3263
110,3,0.898989899,0,0,1,0,0,3130
111,6,0.898989899,0,0,1,0,0,3073
112,2,1,0,0,0.898989899,0,0,3125
113,0,1,0,0,0.898989899,0,0,3121
114,0,1,0,0,0.892496392,0,0,4172
115,2,1,0,0,0.898989899,0,0,4295
116,0,1,0,0,0.898989899,0,0,3216
117,1,1,0,0,0.898989899,0,0,3344
118,2,1,0,0,0.898989899,0,0,3375
119,0,1,0,0,0.898989899,0,0,3427
120,1,1,0,0,0.890725436,0,0,3491
121,0,1,0,0,0.89520202,0,0,3686
122,1,1,0,0,0.870580808,0,0,5890
123,0,1,0,0,0.898989899,0,0,3648
124,2,1,0,0,0.898989899,0,0,3439
125,0,1,0,0,0.898989899,0,0,3555
126,1,1,0,0,0.898989899,0,0,3728
127,0,1,0,0,0.898989899,0,0,3467
128,1,1,0,0,0.88989899,0,0,4044
129,2,1,0,0,0.867845118,0,0,5310
130,0,1,0,0,0.898989899,0,0,3385
131,0,1,0,0,0.898989899,0,0,3519
132,1,1,0,0,0.898989899,0,0,3397
133,1,1,0,0,0.898989899,0,0,3631
134,0,1,0,0,0.898989899,0,0,3431
135,1,1,0,0,0.898989899,0,0,4077
136,0,1,0,0,0.731408574,1,1,4976
137,2,1,0,0,0.898989899,1,0,3616
138,0,1,0,0,0.898989899,1,0,3518
139,0,1,0,0,0.898989899,1,0,3387
140,1,0.898989899,0,0,0.898989899,1,0,3549
141,4,0.898989899,0,0,0.898989899,1,0,3877
142,4,0.898989899,0,0,0.898989899,0,0,3791
143,4,0.887626263,0,0,0.974747475,0,0,4579
144,1,0.853535354,0,0,0.974747475,0,0,3951
145,1,0.898989899,0,0,1,0,0,3760
146,1,0.898989899,0,0,1,0,0,3461
147,4,0.898989899,0,0,1,0,0,3648
148,4,0.898989899,0,0,1,0,0,3405
149,2,0.898989899,0,0,1,0,0,3846
150,3,0.898989899,0,0,1,0,0,4738
151,7,0.898989899,0,0,1,0,0,3498
152,3,0.898989899,0,0,1,0,0,3477
153,9,0.898989899,0,0,1,0,0,4084
154,6,0.898989899,0,0,1,0,0,3519
155,3,0.898989899,0,0,1,0,0,3329
156,1,0.898989899,0,0,1,0,0,3648
157,3,0.898989899,0,0,1,0,0,4774
158,4,0.898989899,0,0,1,0,0,3383
159,1,0.898989899,0,0,1,0,0,3332
160,4,0.898989899,0,0,1,0,0,3210
161,1,0.898989899,0,0,1,0,0,3456
162,5,0.898989899,0,0,1,0,0,3307
163,58,0.747474747,1,1,1,0,0,3552
164,23,0.882301274,1,0,0.977272727,0,0,3869
165,9,0.898989899,1,0,1,0,0,3393
166,16,0.898989899,1,0,1,0,0,3480
167,4,0.898989899,1,0,0.747474747,1,1,3868
168,15,0.898989899,1,0,0.898989899,1,0,3449
169,14,0.898989899,1,0,0.898989899,1,0,3410
170,13,0.898989899,1,0,0.898989899,1,0,3520
171,21,0.897787398,1,0,0.896212121,1,0,4019
172,12,0.898989899,1,0,0.898989899,0,0,3593
173,16,0.898989899,1,0,0.898989899,0,0,3192
174,7,0.898989899,1,0,0.898989899,1,1,4096
175,2,0.898989899,1,0,0.898989899,1,1,3437
176,7,0.898989899,1,0,0.898989899,1,1,3630
