Y1	Y2	X1	X2
173	537	145	145
223	384	139	145
271	309	144	154
280	364	145	152
235	452	136	142
150	498	143	153
112	662	143	136
142	591	152	151
118	648	150	146
200	507	151	154
194	413	149	157
320	410	142	149
237	474	151	154
339	413	143	154
313	473	144	150
280	509	140	147
388	352	142	156
285	381	148	156
290	368	147	158
341	411	135	153
271	451	141	157
147	479	146	147
159	482	145	149
133	486	146	144
181	342	142	151
241	365	144	155
162	474	154	157
262	427	147	160
143	562	154	156
237	518	138	151
