id,Date,Choice,Price.A,Price.B,Price.C,Display.A,Display.B,Display.C,Ad.A,Ad.B,Ad.C
100072,20000316,C,0.908450704,1,1,0,0,1,0,0,0
100072,20000629,C,1,0.846416382,1,0,0,0,0,0,0
100072,20000801,A,0.521126761,1,1,1,0,0,1,0,0
100072,20001201,C,0.873239437,1,0.998648649,1,0,1,0,0,0
100072,20001227,A,0.626760563,0.880546075,1,0,0,0,0,0,0
100072,20010202,C,0.873239437,1,1,0,0,0,0,0,0
100072,20010605,B,0.873239437,0.675767918,1,0,1,1,0,0,0
100072,20010618,C,0.873239437,1,1,0,0,1,0,0,0
100072,20010801,C,0.873239437,0.57337884,1,0,0,0,0,0,0
100072,20011116,B,0.873239437,0.675767918,1,0,1,0,0,0,0
100072,20020211,B,0.867477593,0.675767918,0.978690229,0,1,1,0,0,0
100072,20020225,C,1,0.812286689,0.995322245,0,1,1,0,0,0
100072,20020316,B,1,0.604062746,0.99535473,0,1,1,0,1,0
100072,20020320,A,0.345342775,0.812286689,1,0,1,0,0,0,0
100072,20020521,C,0.838028169,0.638045626,0.988416988,0,0,1,0,0,0
100072,20020625,B,1,0.672354949,1,0,1,0,0,0,0
100072,20020708,B,1,0.675767918,1,0,1,0,0,0,0
100072,20020807,B,0.868838028,0.635909313,1,0,1,0,0,0,0
100072,20020910,B,1,0.603966772,1,0,1,0,0,0,0
100072,20021121,C,0.838028169,1,0.975975976,0,0,0,0,0,0
100072,20030107,B,1,0.569269346,1,0,0,0,0,0,0
100072,20030217,C,0.834777898,1,0.99469112,0,0,0,0,0,0
100072,20030310,C,0.824178404,0.81996587,0.97972973,1,0,0,0,0,0
100072,20030825,C,1,0.812286689,1,0,0,0,0,0,0
100092,20000130,A,0.908450704,1,1,1,0,1,0,0,0
100092,20000318,A,0.842723005,1,1,1,0,1,0,0,0
100092,20000801,A,0.521126761,1,1,1,0,0,1,0,0
100092,20001123,A,0.858389467,1,0.984234234,0,0,1,0,0,0
100092,20001213,A,0.873239437,1,1,0,0,1,0,0,0
100092,20001229,A,0.626760563,0.880546075,1,0,0,0,0,0,0
100092,20010103,A,0.697183099,1,1,0,0,0,0,0,0
100092,20010315,A,0.626760563,1,1,1,0,0,1,0,0
100092,20010320,A,0.873239437,1,1,0,0,0,0,0,0
100092,20010803,A,0.873239437,0.57337884,1,0,0,0,0,0,0
100092,20011003,A,0.873239437,1,1,0,0,1,0,0,0
100092,20011030,C,1,0.880546075,1,0,0,0,0,0,0
100092,20020209,A,0.863776408,0.675767918,1,0,0,1,0,0,0
100092,20020407,A,0.552425665,0.98890785,0.998933144,1,0,1,1,0,0
100092,20020608,A,0.838028169,1,1,0,0,0,0,0,0
100092,20020814,A,0.623875196,0.641638225,1,1,1,0,1,0,0
100092,20021004,A,0.838028169,0.603412969,0.985966736,0,1,0,0,1,0
100092,20021027,B,1,0.662116041,0.996621622,0,0,0,0,0,0
