"","Factor1","Factor2"
"味",0.371266440725501,0.925844197454049
"パッケージデザイン",0.69565489545002,0.445081221209529
"広告宣伝",0.984860790506524,0.158301821303795
"素材栄養素",0.118919418179866,0.76096190313296
"キャンペーンイベント",0.886383993696382,0.236525091233642
