年間収入階級（万円）,世帯人員 ,年間収入,外食
200未満,2.51,1394,4427
200~250,2.56,2260,5664
250~300,2.57,2748,5724
300~350,2.68,3234,6750
350~400,2.76,3734,7751
400~450,2.9,4222,8645
450~500,3.1,4730,10019
500~550,3.17,5221,10974
550~600,3.31,5725,11490
600~650,3.41,6207,12500
650~700,3.46,6723,12593
700~750,3.49,7204,13277
750~800,3.6,7715,13677
800~900,3.63,8441,14554
900~1000,3.63,9449,15527
1000~1250,3.74,11048,16693
1250~1500,3.92,13572,18620
1500~2000,3.86,16820,20370
2000以上,3.7,29987,21873
