時点,販売数量,累計販売数,一期前累積販売数,一期前累積販売数の二乗
1,212,212,,
2,478,690,,
3,912,1602,,
4,636,2238,,
5,401,2639,,
6,401,3040,,
7,235,3275,,
8,23,3298,,
9,1,3299,,
10,0,3299,,
