Model,Design,Portability,Response,Display,Battery,Camera
AQUOS sense6,4.02,4.06,3.35,3.51,4.15,3.12
OPPO Reno5 A,4.33,3.75,4.35,4.28,3.71,4.23
Google Pixel 6,3.99,2.80,4.34,4.20,3.98,4.56
Galaxy S22 Ultra,4.77,3.53,4.81,4.92,4.17,4.87
Xperia 5 ‡V,4.68,4.52,4.67,4.53,4.05,4.38
iPhone 12,4.55,4.31,4.80,4.70,4.23,4.54
iPhone  SE 3rd,3.71,4.39,4.79,3.51,3.28,3.45
Mi 11 Lite 5G,4.36,4.46,3.93,4.26,3.34,3.57
