hotel,service,location,room,facilities,bath,meal
fusaki,4.32,4.34,4.14,4.29,4.24,4.31
kintetsu,4.17,4.87,4.07,4.00,3.35,3.94
halekulani,4.77,4.73,4.75,4.77,4.61,4.74
rizzan,4.27,4.42,4.20,4.03,3.99,4.12
suginoi,4.52,4.29,4.32,4.31,4.61,4.44
kafuu,4.37,4.66,4.54,4.57,4.33,4.27
renaissance,4.14,4.29,4.37,4.14,4.09,4.29
ana,4.37,4.42,4.51,4.37,4.12,4.13
liber,4.43,4.27,4.52,4.48,4.63,4.46
