restaurant,taste,service,atmosphere,CP,drink
Bonnu,4.4,4.2,4.08,3.64,4.11
Shima,4.03,3.76,3.75,3.61,3.39
Torishige,4.08,3.25,3.39,3.42,3.41
Kenscafe,4.11,3.69,3.64,3.45,3.58
Vincero,3.89,3.34,3.28,3.56,3.91
Nikushabu,4.14,3.9,3.86,3.83,3.98
Chefs,4.17,3.76,3.58,3.57,3.54
Roka,4.12,3.84,3.67,3.85,3.61
Konjiki,3.93,3.41,3.51,3.55,3.27
Osteria,3.91,3.69,3.56,3.6,3.86
Makoto,4.03,3.96,3.99,3.95,3.94
Sho,3.73,3.5,3.41,3.37,3.22
Hayashida,3.85,3.63,3.65,3.5,3.24
Pierre,3.96,3.65,3.67,3.17,3.32
