panel,q12,q13,q14,q15,q19,q23,q24,q25,q26,q27,q3,q5,q7,q22,q10,q11,q17,q18,q1,q2,q4,q6,q8,q9,q16,q20,q21,age,gender,year,type
278270,3,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,3,4,2,2,2,4,4,2,31,0,4,2
278357,2,2,2,2,2,3,3,3,3,3,5,4,4,3,4,3,2,2,4,2,4,5,4,4,2,4,3,28,0,8,2
282951,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,36,0,10,2
286843,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,38,0,5,1
293816,2,2,2,2,2,4,4,4,5,5,5,5,5,5,3,3,2,2,2,4,5,5,1,4,2,2,1,65,0,30,3
298581,2,1,1,1,1,1,4,1,1,1,4,4,3,4,3,3,1,1,4,3,4,5,3,3,1,1,4,35,1,2,2
299549,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,48,0,3,2
300017,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,38,1,10,2
302964,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,1,1,4,2,4,4,4,4,4,3,1,45,0,22,1
304855,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,48,1,3,2
306111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,1,1,1,38,1,1,1
310358,4,3,3,3,3,4,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4,3,3,38,1,2,2
310459,1,1,3,1,1,5,3,4,5,4,4,3,5,4,2,1,1,1,5,2,3,4,4,4,1,1,1,41,1,10,2
311228,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,2,2,2,2,4,2,2,2,2,2,4,56,0,0,1
315325,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,2,48,1,8,2
315376,3,1,2,1,1,3,3,3,2,2,4,3,3,4,3,2,2,2,4,2,2,3,2,4,1,1,1,58,0,30,3
315474,2,3,2,2,2,4,4,4,3,3,4,4,4,4,2,2,2,2,3,4,3,5,2,3,2,3,2,44,0,7,2
317309,3,2,3,2,2,4,4,3,3,3,4,3,4,2,3,3,2,2,3,4,3,2,3,4,2,3,2,57,0,2,2
317363,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,3,3,3,4,63,0,30,1
317636,1,1,1,1,1,4,4,4,2,2,4,4,2,4,1,1,1,1,3,2,4,4,1,3,3,4,1,39,1,3,2
317715,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3,2,30,0,2,2
318457,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,5,3,3,4,4,4,2,75,1,21,2
318829,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,2,46,1,25,3
319685,1,1,1,1,1,3,3,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,2,2,2,59,0,30,3
319787,1,1,1,1,1,3,3,3,2,2,3,4,3,3,2,2,1,1,2,4,2,4,1,3,1,4,4,46,0,2,1
320125,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,4,4,4,4,4,4,2,43,0,13,2
320442,4,4,3,3,4,4,4,4,3,3,5,4,5,4,3,3,2,2,2,5,2,4,2,4,2,4,4,47,0,29,3
322348,2,2,2,2,2,2,2,4,4,4,2,2,4,2,2,2,2,2,4,2,2,4,2,2,2,2,2,51,0,3,2
326060,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,48,0,10,1
332002,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,2,5,3,4,3,3,3,3,2,30,1,8,2
332737,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,38,0,8,2
333844,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,4,4,2,3,3,4,2,44,1,5,2
335783,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,50,0,10,2
337889,1,1,1,1,1,4,3,4,3,3,5,4,4,4,3,4,2,2,2,4,4,5,2,2,2,4,2,41,1,8,2
342180,1,1,1,1,1,4,4,4,4,1,4,4,4,4,2,1,1,1,2,4,4,4,3,2,1,1,2,36,1,15,1
501158,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,4,1,4,3,3,1,1,1,48,0,9,2
507475,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,4,2,4,2,3,4,3,4,4,3,2,55,0,28,2
513888,4,4,4,4,4,1,1,1,1,1,3,4,4,1,3,1,3,1,3,1,3,5,1,4,4,3,1,40,0,3,2
518908,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,35,1,5,2
520484,1,1,1,1,1,1,1,1,1,1,4,3,4,3,3,3,1,1,1,4,1,4,1,1,1,1,1,37,0,4,1
520566,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,68,0,7,1
520666,2,2,2,2,2,3,2,2,2,2,4,3,5,4,1,1,2,2,3,3,4,2,1,2,2,2,2,34,0,15,2
521256,2,2,1,1,3,4,4,4,4,4,4,4,4,4,3,2,3,4,3,4,3,2,3,4,4,4,2,56,0,14,2
521760,2,2,2,2,2,4,4,4,4,3,4,3,3,4,3,2,2,2,3,4,3,3,3,3,2,3,3,53,0,20,2
523406,2,1,1,1,1,4,2,3,4,4,4,4,4,4,1,1,1,1,3,3,2,5,3,3,1,3,3,49,0,7,2
523438,2,2,2,2,2,4,4,3,4,4,3,2,4,4,3,2,4,3,2,3,3,4,4,3,2,2,3,53,0,28,2
524160,2,3,3,3,4,3,3,3,2,2,2,4,4,2,1,1,3,3,1,5,2,5,2,1,1,4,5,35,0,5,2
524415,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,42,1,4,2
524423,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,4,2,4,3,4,3,3,4,48,0,10,2
525425,3,3,4,3,3,4,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,4,3,4,4,3,4,50,1,25,2
531397,3,3,3,3,3,2,2,2,2,2,4,4,4,2,3,3,4,3,1,4,1,2,4,3,3,4,2,44,1,15,3
533563,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,4,4,4,3,3,3,3,2,36,0,12,2
540570,2,2,2,2,2,4,4,2,2,2,4,4,4,4,3,3,2,2,3,3,4,4,3,4,2,4,4,40,1,2,2
583952,4,3,3,3,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,2,3,4,3,2,2,4,1,45,0,2,1
591656,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,1,3,3,2,5,5,3,3,3,3,3,1,30,0,4,2
591720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,33,0,4,2
593468,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,46,1,14,1
593877,1,1,1,1,1,3,1,4,1,1,4,4,2,4,1,1,1,1,4,1,4,4,1,1,1,1,1,48,0,12,2
603505,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,38,1,3,1
616737,2,2,2,2,3,4,4,3,2,4,4,4,3,4,2,2,4,3,2,4,3,4,2,2,2,3,2,42,0,15,2
625233,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,2,3,3,3,3,3,3,3,4,45,0,20,3
628846,2,2,2,2,2,3,3,2,2,2,4,3,4,4,3,2,2,2,2,3,3,4,3,3,2,2,2,35,0,10,2
650738,2,2,2,2,2,2,2,2,4,4,4,4,3,2,4,4,4,4,3,2,4,2,2,2,2,3,2,48,1,29,1
655852,3,3,3,3,2,4,4,4,4,4,4,4,3,4,2,2,2,2,2,4,4,3,3,3,2,4,3,67,0,6,3
671349,1,1,1,1,3,4,4,3,3,3,5,4,4,4,2,3,2,2,2,5,5,4,2,4,1,3,1,60,0,30,2
671670,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,41,0,4,2
672240,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,69,1,3,1
672528,2,1,2,2,2,4,3,4,4,4,4,3,3,4,3,2,2,2,4,1,4,2,2,4,3,4,1,82,0,40,1
673696,3,2,2,2,2,3,3,3,3,3,2,2,3,3,1,1,2,2,2,2,2,3,3,2,2,4,1,47,0,5,2
675306,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,42,0,6,2
675719,1,1,1,1,1,3,4,3,3,3,3,4,2,4,1,1,1,1,2,3,4,3,2,2,1,4,2,48,1,10,2
677553,2,2,2,2,2,3,3,3,3,3,4,4,2,2,2,2,2,2,3,4,2,4,2,2,2,4,3,64,0,31,2
677658,1,1,1,1,1,4,3,4,3,3,4,4,4,4,3,2,1,1,4,2,3,4,2,4,3,4,1,41,0,3,2
678240,3,2,2,2,2,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,1,3,2,74,0,5,3
678930,3,3,4,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,3,3,3,4,3,3,3,3,2,52,0,25,2
679934,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,32,1,8,3
680285,2,2,2,2,2,4,4,4,3,3,4,4,4,4,2,2,2,2,3,4,3,5,3,3,2,4,2,45,0,22,2
680572,1,1,1,1,1,2,2,3,2,2,4,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,4,34,1,1,2
681891,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,3,3,5,5,4,2,2,2,3,3,3,40,1,5,2
682118,3,3,3,3,3,4,3,3,3,3,4,4,3,4,3,3,2,2,2,3,2,4,3,3,2,4,3,34,0,8,2
684608,2,1,3,1,2,4,4,3,3,3,4,4,4,4,1,1,2,1,3,4,3,3,2,2,3,4,2,51,0,20,2
696324,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,2,4,4,3,4,3,4,2,36,1,9,1
696447,2,2,2,2,4,4,4,2,2,2,4,4,4,4,4,3,2,2,2,2,4,4,2,2,2,4,2,62,0,40,3
701828,3,3,1,1,2,3,3,3,3,3,4,3,2,4,1,1,3,2,3,3,2,4,2,4,4,4,1,42,0,7,2
